Áreas	rep	Prof	Coleta	Araneae	Blattodea 	Casulo oligochaeta	Chilopoda	Coleoptera	Diplopoda	Formicidae	Hemiptera	Isopoda	Isoptera	L. de Coleoptera	Lepidoptera	Annelida	Oligochaeta	Orthoptera	Symphyla	Total	Riqueza média	Índice de Shannon	Índice de Pielou	índice de Margalef
Terço Superior	1	Serapileira	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Terço Superior	2	Serapileira	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0.6931	1	1.4427
Terço Superior	3	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Superior	4	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	1	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	2	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Terço Médio	3	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	4	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Inferior	1	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Inferior	2	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Inferior	3	Serapileira	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Inferior	4	Serapileira	2	0	0	0	1	0	0	2	0	9	0	0	0	0	0	0	0	12	3	0.7215	0.6567	0.8049
Terço Superior	1	1	2	0	0	0	1	0	0	3	0	0	0	0	0	0	20	0	0	24	3	0.5443	0.4954	0.6293
Terço Superior	2	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	10	0	0	12	3	0.5661	0.5153	0.8049
Terço Superior	3	1	2	0	0	0	0	1	0	25	0	0	0	0	0	0	15	0	0	41	3	0.7601	0.6919	0.5386
Terço Superior	4	1	2	0	0	0	0	0	0	1	0	0	0	1	0	1	6	0	0	9	4	1.0027	0.7233	1.3654
Terço Médio	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	2	1	2	0	0	1	2	1	0	30	0	0	0	0	0	2	3	0	0	39	6	1.5230	0.9463	1.8205
Terço Médio	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	4	1	2	0	0	1	0	0	0	0	0	0	92	0	0	0	8	0	0	101	3	0.3316	0.3018	0.4334
Terço Inferior	1	1	2	0	0	50	2	0	0	3	0	0	0	1	0	0	15	0	0	71	5	0.8697	0.5404	0.9384
Terço Inferior	2	1	2	0	0	0	3	1	0	1	0	0	0	0	0	1	26	0	2	34	6	1.4942	0.9284	1.9236
Terço Inferior	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18	1	0	0	0
Terço Inferior	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Superior	1	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	6	2	0.4506	0.65	0.5581
Terço Superior	2	2	2	0	0	5	0	0	0	1	0	0	0	0	0	0	5	0	0	11	3	0.9348	0.8509	0.8341
Terço Superior	3	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	9	0	0	11	3	0.6002	0.5463	0.8341
Terço Superior	4	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Terço Médio	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0.6931	1	1.4427
Terço Médio	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Médio	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0
Terço Inferior	1	2	2	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	26	1	0	0	0
Terço Inferior	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0.6931	1	1.4427
Terço Inferior	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terço Inferior	4	2	2	0	0	1	4	2	3	10	0	0	0	0	0	1	4	0	2	27	8	1.8075	0.8692	2.1239
Terço Superior	1	total	2	0	0	0	1	2	0	3	0	0	0	0	0	0	25	0	2	33	5	0.8741	0.5431	1.1440
Terço Superior	2	total	2	1	0	5	1	0	0	1	1	1	0	0	0	0	20	0	2	32	8	1.6988	0.873	2.4146
Terço Superior	3	total	2	0	0	1	0	2	0	25	0	0	0	0	0	0	25	0	2	55	5	1.0307	0.6404	0.9982
Terço Superior	4	total	2	0	0	2	0	1	0	1	0	0	0	0	0	1	8	0	2	15	6	1.5498	0.963	2.0556
Terço Médio	1	total	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0
Terço Médio	2	total	2	0	0	2	2	1	0	30	0	0	0	0	0	2	7	0	2	46	7	1.5747	0.8788	1.8034
Terço Médio	3	total	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0
Terço Médio	4	total	2	0	0	1	0	0	0	0	0	0	92	0	0	0	12	0	2	107	4	0.4933	0.3558	0.642
Terço Inferior	1	total	2	0	0	50	2	1	0	3	0	0	26	0	0	2	65	0	2	151	8	1.3146	0.6322	1.3952
Terço Inferior	2	total	2	0	0	0	3	2	0	1	0	0	0	0	0	1	27	0	2	36	6	1.5230	0.9463	1.8205
Terço Inferior	3	total	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18	1	0	0	0
Terço Inferior	4	total	2	0	0	1	5	2	3	12	0	9	0	0	0	1	5	0	2	40	9	1.8950	0.8624	2.1687

